drwNo,1,2,3,4,5,6,bnusNo,no1,no2,no3,no4,no5
770,1,9,12,23,39,43,34,2163099329,38455100,1252882,50000,5000
769,5,7,11,16,41,45,4,1930760042,52657093,1476117,50000,5000
768,7,27,29,30,38,44,4,1363572260,55743521,1597841,50000,5000
767,5,15,20,31,34,42,22,1163768725,63248301,1527256,50000,5000
766,9,30,34,35,39,41,21,2173637297,70687392,1671386,50000,5000
765,1,3,8,12,42,43,33,1109214250,51352512,1307419,50000,5000
764,7,22,24,31,34,36,15,2459975465,65226623,1504178,50000,5000
763,3,8,16,32,34,43,10,2138130000,63352000,1412006,50000,5000
762,1,3,12,21,26,41,16,1631432063,51302896,1330261,50000,5000
761,4,7,11,24,42,45,30,2392730518,53683057,1305058,50000,5000
760,10,22,27,31,42,43,12,2253299391,66764427,1717782,50000,5000
759,9,33,36,40,42,43,32,3032670500,68924330,1722130,50000,5000
758,5,9,12,30,39,43,24,2078969954,43999365,1277401,50000,5000
757,6,7,11,17,33,44,1,739839858,38079993,974573,50000,5000
756,10,14,16,18,27,28,4,3414434700,53686081,1524846,50000,5000
755,13,14,26,28,30,36,37,2214427266,54677217,1600309,50000,5000
754,2,8,17,24,29,31,32,3427542000,57125700,1538947,50000,5000
753,2,17,19,24,37,41,3,2711105063,46743191,1401813,50000,5000
752,4,16,20,33,40,43,7,1870358834,37407177,1377966,50000,5000
751,3,4,16,20,28,44,17,2097968110,40540447,1265743,50000,5000
750,1,2,15,19,24,36,12,2522104286,66873978,1653994,50000,5000
749,12,14,24,26,34,45,41,1350104395,45706660,1473666,50000,5000
748,3,10,13,22,31,32,29,1928246542,49023218,1493222,50000,5000
747,7,9,12,14,23,28,17,1903214584,48386812,1287696,50000,5000
746,3,12,33,36,42,45,25,2038623709,52723027,1606059,50000,5000
745,1,2,3,9,12,23,10,746822982,22631000,674272,50000,5000
744,10,15,18,21,34,41,43,1155411575,47352934,1039414,50000,5000
743,15,19,21,34,41,44,10,2608641000,66161185,1535527,50000,5000
742,8,10,13,36,37,40,6,1111814813,67382716,1492870,50000,5000
741,5,21,27,34,44,45,16,3043595938,55338108,1664077,50000,5000
740,4,8,9,16,17,19,31,936929792,65367195,1148668,50000,5000
739,7,22,29,33,34,35,30,4744122282,70283294,1628604,50000,5000
738,23,27,28,38,42,43,36,1634191091,62417021,1826840,50000,5000
737,13,15,18,24,27,41,11,4283061000,59486959,1474122,50000,5000
736,2,11,17,18,21,27,6,3397362225,52428430,1258283,50000,5000
735,5,10,13,27,37,41,4,1847231588,61574387,1356862,50000,5000
734,6,16,37,38,41,45,18,1949395500,81224813,1663307,50000,5000
733,11,24,32,33,35,40,13,4016725125,46979242,1362064,50000,5000
732,2,4,5,17,27,32,43,2203270608,57121831,1247202,50000,5000
731,2,7,13,25,42,45,39,2340471054,60678880,1431106,50000,5000
730,4,10,14,15,18,22,39,2017382110,59774285,1544999,50000,5000
729,11,17,21,26,36,45,16,4198250719,79966681,1492712,50000,5000
728,3,6,10,30,34,37,36,3243464400,48265840,1446168,50000,5000
727,7,8,10,19,21,31,20,1115107742,29907105,1260620,50000,5000
726,1,11,21,23,34,44,24,1166872634,48619694,1297143,50000,5000
725,6,7,19,21,41,43,38,1579217250,61600673,1612943,50000,5000
724,2,8,33,35,37,41,14,1427789813,51919630,1557873,50000,5000
723,20,30,33,35,36,44,22,2114365360,70478846,1586469,50000,5000
722,12,14,21,30,39,43,45,4365422719,63266996,1724101,50000,5000
721,1,28,35,41,43,44,31,2273767360,75792246,1886553,50000,5000
720,1,12,29,34,36,37,41,1233770358,77805338,1619122,50000,5000
719,4,8,13,19,20,43,26,1879581334,48609863,1395729,50000,5000
718,4,11,20,23,32,39,40,926166464,41002162,1091572,50000,5000
717,2,11,19,25,28,32,44,2702433688,57498590,1369015,50000,5000
716,2,6,13,16,29,30,21,1358752157,77642981,1559096,50000,5000
715,2,7,27,33,41,44,10,2605510438,42713286,1391090,50000,5000
714,1,7,22,33,37,40,20,2085131733,52883776,1198943,50000,5000
713,2,5,15,18,19,23,44,1714720917,51441628,1436115,50000,5000
712,17,20,30,31,33,45,19,4034485125,57226740,1557416,50000,5000
711,11,15,24,35,37,45,42,2277413358,60385961,1424656,50000,5000
710,3,4,9,24,25,33,10,2895441150,42331011,1212497,50000,5000
709,10,18,30,36,39,44,32,1165271625,61794708,1603165,50000,5000
708,2,10,16,19,34,45,1,4099552219,52558362,1596399,50000,5000
707,2,12,19,24,39,44,35,1322167313,35734252,1318213,50000,5000
706,3,4,6,10,28,30,37,3831746063,50088184,1211811,50000,5000
705,1,6,17,22,28,45,23,3987206532,54247708,1472653,50000,5000
704,1,4,8,23,33,42,45,3865190344,54825395,1351938,50000,5000
703,10,28,31,33,41,44,21,3235784100,52872290,1568637,50000,5000
702,3,13,16,24,26,29,9,1465091387,58391324,1476636,50000,5000
701,3,10,14,16,36,38,35,1583183175,65965966,1590500,50000,5000
700,11,23,28,29,30,44,13,2082099188,67710543,1777294,50000,5000
699,4,5,8,16,21,29,3,1995411375,53210970,1478905,50000,5000
698,3,11,13,21,33,37,18,1921084125,53363448,1226746,50000,5000
697,2,5,8,11,33,39,31,1531443038,28360057,1315673,50000,5000
696,1,7,16,18,34,38,21,1632054413,61820243,1580530,50000,5000
695,4,18,26,33,34,38,14,1450214830,40283746,1343471,50000,5000
694,7,15,20,25,33,43,12,1555036388,33227274,1133739,50000,5000
693,1,6,11,28,34,42,30,1642763813,63673016,1618168,50000,5000
692,3,11,14,15,32,36,44,2301273697,61018621,1516848,50000,5000
691,15,27,33,35,43,45,16,2839296750,91590218,1662352,50000,5000
690,24,25,33,34,38,39,43,1126507625,82831444,1589317,50000,5000
689,7,17,19,30,36,38,34,2321775911,61562241,1497368,50000,5000
688,5,15,22,23,34,35,2,1967536750,55685003,1400715,50000,5000
687,1,8,10,13,28,42,45,2720029313,71579719,1528107,50000,5000
686,7,12,15,24,25,43,13,1937531719,71760435,1386676,50000,5000
685,6,7,12,28,38,40,18,1494367671,52686040,1434385,50000,5000
684,1,11,15,17,25,39,40,1688815709,40858445,1287208,50000,5000
683,6,13,20,27,28,40,15,1010930883,59907016,996974,50000,5000
682,17,23,27,35,38,43,2,4063713563,48377543,1463611,50000,5000
681,21,24,27,29,43,44,7,2696328938,72873756,1871152,50000,5000
680,4,10,19,29,32,42,30,1110570563,58893894,1385739,50000,5000
679,3,5,7,14,26,34,35,2863005600,44182186,1304450,50000,5000
678,4,5,6,12,25,37,45,2288490188,55816834,1233688,50000,5000
677,12,15,24,36,41,44,42,1921114407,69229348,1505871,50000,5000
676,1,8,17,34,39,45,27,1879726500,39782572,1505287,50000,5000
675,1,8,11,15,18,45,7,3514549032,36046657,1297361,50000,5000
674,9,10,14,25,27,31,11,1770565500,49182375,1278849,50000,5000
673,7,10,17,29,33,44,5,1491453300,71021586,1333560,50000,5000
672,8,21,28,31,36,45,43,1754745000,57219946,1615788,50000,5000
671,7,9,10,13,31,35,24,3722322844,51698929,1395697,50000,5000
670,11,18,26,27,40,41,25,1191725219,61114114,1111166,50000,5000
669,7,8,20,29,33,38,9,2708173188,52080254,1389520,50000,5000
668,12,14,15,24,27,32,3,2991158625,44511290,1330824,50000,5000
667,15,17,25,37,42,43,13,2228764393,65005629,1685176,50000,5000
666,2,4,6,11,17,28,16,2396901063,50997895,1231074,50000,5000
665,5,6,11,17,38,44,13,3643230375,80960675,1356883,50000,5000
664,10,20,33,36,41,44,5,1536801338,58212172,1674076,50000,5000
663,3,5,8,19,38,42,20,2080244143,40449192,1491673,50000,5000
662,5,6,9,11,15,37,26,1689733688,52394844,1260761,50000,5000
661,2,3,12,20,27,38,40,1713025547,36254509,1248107,50000,5000
660,4,9,23,33,39,44,14,1421272575,49349743,1214141,50000,5000
659,7,18,19,27,29,42,45,1336604216,61261027,1388352,50000,5000
658,8,19,25,28,32,36,37,1634031375,64501239,1460696,50000,5000
657,10,14,19,39,40,43,23,1694762792,48887389,1627494,50000,5000
656,3,7,14,16,31,40,39,7330002750,50902797,1398589,50000,5000
655,7,37,38,39,40,44,18,1661439625,60784377,1547926,50000,5000
654,16,21,26,31,36,43,6,1879301391,36315003,1402203,50000,5000
653,5,6,26,27,38,39,1,980958670,40873278,1146172,50000,5000
652,3,13,15,40,41,44,20,3003483525,69525082,1664165,50000,5000
651,11,12,16,26,29,44,18,1855306454,70678342,1468968,50000,5000
650,3,4,7,11,31,41,35,2849298900,52764795,1308940,50000,5000
649,3,21,22,33,41,42,20,2948042100,54593373,1454531,50000,5000
648,13,19,28,37,38,43,4,2120987947,54988577,1517159,50000,5000
647,5,16,21,23,24,30,29,2189725608,58060907,1600677,50000,5000
646,2,9,24,41,43,45,30,2215498393,71798560,1698258,50000,5000
645,1,4,16,26,40,41,31,3696297750,88007090,1395356,50000,5000
644,5,13,17,23,28,36,8,1831451204,49835407,1299593,50000,5000
643,15,24,31,32,33,40,13,2535763625,58971248,1662796,50000,5000
642,8,17,18,24,39,45,32,1251460438,40369692,1379020,50000,5000
641,11,18,21,36,37,43,12,1990074563,53068655,1695485,50000,5000
640,14,15,18,21,26,35,23,1728768834,54024027,1582156,50000,5000
639,6,15,22,23,25,32,40,4061185219,60165707,1663058,50000,5000
638,7,18,22,24,31,34,6,2229403179,63438302,1513072,50000,5000
637,3,16,22,37,38,44,23,3899241094,57766535,1587963,50000,5000
636,6,7,15,16,20,31,26,1832362219,55526128,1238292,50000,5000
635,11,13,25,26,29,33,32,1855587235,70689038,1499465,50000,5000
634,4,10,11,12,20,27,38,1077935106,43250483,1057757,50000,5000
633,9,12,19,20,39,41,13,1217257094,51798175,1360825,50000,5000
632,15,18,21,32,35,44,6,1432587716,50507901,1596603,50000,5000
631,1,2,4,23,31,34,8,3919853532,56809472,1559210,50000,5000
630,8,17,21,24,27,31,15,4836305500,50378183,1482620,50000,5000
629,19,28,31,38,43,44,1,2919433575,71554745,1841682,50000,5000
628,1,7,12,15,23,42,11,1499942875,60808495,1382012,50000,5000
627,2,9,22,25,31,45,12,1352230650,64391936,1471096,50000,5000
626,13,14,26,33,40,43,15,1717871110,50899885,1296996,50000,5000
625,3,6,7,20,21,39,13,2765184675,51207124,1393181,50000,5000
624,1,7,19,26,27,35,16,2763729450,37755867,1463220,50000,5000
623,7,13,30,39,41,45,25,1813702594,69093433,1660900,50000,5000
622,9,15,16,21,28,34,24,1630598292,71938160,1501472,50000,5000
621,1,2,6,16,19,42,9,2359723500,38060057,1517508,50000,5000
620,2,16,17,32,39,45,40,2028283233,53780238,1424643,50000,5000
619,6,8,13,30,35,40,21,4612479375,39088809,1347103,50000,5000
618,8,16,25,30,42,43,15,2881326225,53357894,1518726,50000,5000
617,4,5,11,12,24,27,28,1629701860,50533391,1090284,50000,5000
616,5,13,18,23,40,45,3,1611811250,49341161,1422187,50000,5000
615,10,17,18,19,23,27,35,1535062417,74277214,1378799,50000,5000
614,8,21,25,39,40,44,18,2540975438,55238597,1668402,50000,5000
613,7,8,11,16,41,44,35,1549831209,77491561,1511539,50000,5000
612,6,9,18,19,25,33,40,1181705250,36719655,1181921,50000,5000
611,2,22,27,33,36,37,14,3502706157,49683776,1571425,50000,5000
610,14,18,20,23,28,36,33,3516018375,68941537,1676690,50000,5000
609,4,8,27,34,39,40,13,6339311438,44959656,1303581,50000,5000
608,4,8,18,19,39,44,41,1943530018,70857866,1495681,50000,5000
607,8,14,23,36,38,39,13,3494480907,66561542,1608878,50000,5000
606,1,5,6,14,20,39,22,1311566850,49680563,1417604,50000,5000
605,1,2,7,9,10,38,42,1394232250,52283710,914851,50000,5000
604,2,6,18,21,33,34,30,1229141557,62595172,1553016,50000,5000
603,2,19,25,26,27,43,28,3452136563,76714146,1688500,50000,5000
602,13,14,22,27,30,38,2,1689530860,53635901,1344901,50000,5000
601,2,16,19,31,34,35,37,1524565209,81673137,1508475,50000,5000
