drwNo,1,2,3,4,5,6,bnusNo,no1,no2,no3,no4,no5
1074,1,6,20,27,28,41,15,2134763657,54737530,1574891,50000,5000
1073,6,18,28,30,32,38,15,2345227603,69348129,1436067,50000,5000
1072,16,18,20,23,32,43,27,2175006375,46774331,1514629,50000,5000
1071,1,2,11,21,30,35,39,5183979750,52047990,1494287,50000,5000
1070,3,6,14,22,30,41,36,1859116929,68856183,1476495,50000,5000
1069,1,10,18,22,28,31,44,1863217554,55031743,1446277,50000,5000
1068,4,7,19,26,33,35,3,1363929514,49644944,1386998,50000,5000
1067,7,10,19,23,28,33,18,1981114010,52346509,1166734,50000,5000
1066,6,11,16,19,21,32,45,1670947250,47470093,1257108,50000,5000
1065,3,18,19,23,32,45,24,1852593938,58415125,1386821,50000,5000
1064,3,6,9,18,22,35,14,1348168106,68858049,1295267,50000,5000
1063,3,6,22,23,24,38,30,3770311875,79976313,1625535,50000,5000
1062,20,31,32,40,41,45,12,3801933804,65229257,1662515,50000,5000
1061,4,24,27,35,37,45,15,2422768773,44866089,1479102,50000,5000
1060,3,10,24,33,38,45,36,898238907,43664392,912646,50000,5000
1059,7,10,22,25,34,40,27,2033168481,53074680,1408762,50000,5000
1058,11,23,25,30,32,40,42,2058020250,74317398,1450568,50000,5000
1057,8,13,19,27,40,45,12,1616069714,6895880,1545870,50000,5000
1056,13,20,24,32,36,45,29,1969662456,56739248,1425964,50000,5000
1055,4,7,12,14,22,33,31,2362815205,47085086,1269215,50000,5000
1054,14,19,27,28,30,45,33,3147925709,71543767,1739827,50000,5000
1053,22,26,29,30,34,45,15,4090367411,74563990,1766135,50000,5000
1052,5,17,26,27,35,38,1,2341682762,39750788,1467220,50000,5000
1051,21,26,30,32,33,35,44,1669558480,71552507,1773611,50000,5000
1050,6,12,31,35,38,43,17,1535083280,62134324,1517587,50000,5000
1049,3,5,13,20,21,37,17,1727810100,48533992,1455366,50000,5000
1048,6,12,17,21,32,39,30,1612494508,44791515,1196944,50000,5000
1047,2,20,33,40,42,44,32,2748797875,49677071,1511436,50000,5000
1046,7,16,25,29,35,36,28,2011415719,70575991,1359524,50000,5000
1045,6,14,15,19,21,41,37,1990060443,64355189,1597554,50000,5000
1044,12,17,20,26,28,36,4,3136941235,58091505,1610547,50000,5000
1043,3,5,12,22,26,31,19,1468646956,48385656,1318494,50000,5000
1042,5,14,15,23,34,43,4,1240663669,41355456,1159391,50000,5000
1041,6,7,9,11,17,18,45,935091165,45837803,987133,50000,5000
1040,8,16,26,29,31,36,11,3660482625,67786716,1653335,50000,5000
1039,2,3,6,19,36,39,26,1585019672,52833990,1524241,50000,5000
1038,7,16,24,27,37,44,2,1627457225,52839521,1209466,50000,5000
1037,2,14,15,22,27,33,31,1708576825,54762078,1574435,50000,5000
1036,2,5,22,32,34,45,39,2837323167,66499762,1641337,50000,5000
1035,9,14,34,35,41,42,2,3231193735,60679695,1512732,50000,5000
1034,26,31,32,33,38,40,11,2868856209,65201278,1484916,50000,5000
1033,3,11,15,20,35,44,10,1913414943,52477625,1344708,50000,5000
